"","Param","ICC","CI.LB","CI.UB"
"1","Ab",0.231756486782209,0.0691218055508722,0.382391295362336
"2","Aw",0.233367346437962,0.0819035081369763,0.374294726269499
"3","Cb",0.477154175932333,0.362071984009921,0.577909091932954
"4","Cp",0.487450751550782,0.427900339420326,0.542787309918338
"5","Cu",0.482853923824596,0.377084474295863,0.576191137710401
"6","Cw",0.440141051382565,0.282743103279273,0.574457388189487
