"","Study","Ab_ICC","Ab_LB","Ab_UB","Aw_ICC","Aw_LB","Aw_UB","Cb_ICC","Cb_LB","Cb_UB","Cp_ICC","Cp_LB","Cp_UB","Cu_ICC","Cu_LB","Cu_UB","Cw_ICC","Cw_LB","Cw_UB","N","Interval","Order"
"2","Calanchini",0.0293027911069931,-0.16248360818047,0.218955706434753,-0.134459449310479,-0.317196106018757,0.0579042693484954,0.594768570872352,0.455616170696723,0.705546843946742,0.584674764396462,0.443266272157714,0.697689312297365,0.526267498238109,0.372842983277196,0.651681899315714,0.407487162065997,0.234878459339177,0.555182558521612,105,48,2
"3","PI",0.258576879737876,0.205889811948876,0.309769150466261,0.278872530318332,0.226741607440269,0.32941012082382,0.477045661076848,0.432887977019516,0.518919426850769,0.47215714139749,0.42774660042149,0.514293621651915,0.480286607390302,0.436298144513551,0.521984849807203,0.485062316058813,0.441325513691683,0.526499953161927,1240,28,1
"4","Gawronski",0.480696007527679,0.327666933984847,0.609148121797995,0.386175455730972,0.219966202682248,0.530595786852634,0.594086196048452,0.462337984070201,0.700170171383116,0.390624450619176,0.22494630502604,0.534349655907467,0.573850543828686,0.4378505654175,0.684175253458408,0.548488723504183,0.407442220079199,0.66397745520185,116,730,4
"5","Forscher",0.122033435870942,-0.231647074243577,0.44721902370016,0.2987189819751,-0.0504186501531899,0.582795981876382,0.4136321768631,0.0812318964531145,0.663230471234092,0.528207699706388,0.225157164680101,0.738071502275185,0.522537049479511,0.217708624831218,0.734485030231928,0.54069870276743,0.241690316927942,0.745929978129262,32,8760,5
"6","Lai1",-0.00959933811458722,-0.22765224840452,0.209370335358205,0.192625424125526,-0.0270434232033613,0.394547598111163,0.164953860571177,-0.0555801283077192,0.37014166678233,0.350301836589037,0.142694895261301,0.528383675419005,0.157856657450045,-0.0628416252964451,0.3638360581326,0.0067828771231246,-0.212061922210384,0.224979864578203,80,NA,3
"7","Lai2",0.365593461881193,0.284001054836982,0.441929127903733,0.330816048467399,0.247216473341432,0.409526940094984,0.494530412792199,0.422508190019307,0.56034649300401,0.540039669854731,0.472211918259218,0.601510061854782,0.545386047305214,0.478079506466164,0.606324580996477,0.550984294098443,0.484229964001902,0.611361129966444,463,NA,3
