"","Param","ICC","CI.LB","CI.UB"
"1","D",0.515164406179059,0.435870455698876,0.586522317956731
"2","OB",0.15999579402497,0.0257563636675919,0.28856728161941
"3","ACwg",0.317687805427899,0.169525264885722,0.45180718622246
"4","ACbb",0.10424499050606,0.0609193230295399,0.147178579540826
"5","G",0.0120636468874538,-0.123908802923712,0.147591413190407
