"","Param","Recov","CI.LB","CI.UB","type","Time"
"28","Calanchini",0.764693058597551,0.671437037186919,0.834107299343279,1,"Time1"
"29","Calanchini",0.89826907759769,0.853558387189227,0.929845625693593,1,"Time2"
"30","Forscher",0.813393031169645,0.648681514829306,0.905316411883412,1,"Time1"
"31","Forscher",0.808803182075375,0.640842757836257,0.902866433525647,1,"Time2"
"32","Gawronski",0.713965569473843,0.611208634519531,0.793052316249046,1,"Time1"
"33","Gawronski",0.881189163510857,0.832640815541403,0.916297596455248,1,"Time2"
"34","Lai1",0.272046634971141,0.0556565087747264,0.464027125373179,1,"Time1"
"35","Lai1",0.499713593523656,0.314530766308693,0.648254995538165,1,"Time2"
"36","Lai2",0.834030060146591,0.804008791881168,0.859810127079735,1,"Time1"
"37","Lai2",0.759856698793367,0.718478132809259,0.795875791446986,1,"Time2"
"38","PI",0.944535540755555,0.938198262512693,0.950239664961136,1,"Time1"
"39","PI",0.955646916673747,0.950546918621747,0.960231685332079,1,"Time2"
"40","Cw",0.798211261335766,0.638439591617177,0.892033079153843,0,"Meta"
"41","Calanchini",0.726836053264827,0.621792185267835,0.806191410520319,1,"Time1"
"42","Calanchini",0.909613199581869,0.869545611411834,0.937784019202115,1,"Time2"
"43","Forscher",0.616396486136952,0.340993530055413,0.794356454285864,1,"Time1"
"44","Forscher",0.70413434473128,0.471111044592514,0.845287156834327,1,"Time2"
"45","Gawronski",0.725225491616205,0.625630105239255,0.801559393217794,1,"Time1"
"46","Gawronski",0.866107775908568,0.812012711342664,0.905448745917035,1,"Time2"
"47","Lai1",0.509738065979942,0.326599705030087,0.65598581926061,1,"Time1"
"48","Lai1",0.455996186478121,0.262587999500744,0.614178497943587,1,"Time2"
"49","Lai2",0.81717234644313,0.784460151277642,0.845350118942071,1,"Time1"
"50","Lai2",0.772781374230368,0.733292323724226,0.807074412259535,1,"Time2"
"51","PI",0.934850582787168,0.927448004673322,0.941520781680302,1,"Time1"
"52","PI",0.950536969351104,0.944865962255924,0.955637970115812,1,"Time2"
"53","Aw",0.49442736616894,0.364248238682384,0.605655569071176,0,"Meta"
"54","Calanchini",0.358559560155442,0.179210251912791,0.514843039793851,1,"Time1"
"55","Calanchini",0.562227578927706,0.415316640120631,0.680556415371557,1,"Time2"
"56","Forscher",0.472162126890019,0.147802348191355,0.704815252767001,1,"Time1"
"57","Forscher",0.29633481773144,-0.058392900339262,0.5846199159898,1,"Time2"
"58","Gawronski",0.37049731217026,0.201812714068671,0.517835277483819,1,"Time1"
"59","Gawronski",0.432768855473906,0.271905882092262,0.570103735344351,1,"Time2"
"60","Lai1",0.359005931416395,0.151216980609803,0.536410912397979,1,"Time1"
"61","Lai1",0.252970118596523,0.0352102731026633,0.447797613238034,1,"Time2"
"62","Lai2",0.737781139688753,0.69326177293471,0.776691197118857,1,"Time1"
