"","Param","Recov","CI.LB","CI.UB"
"1","D",0.869955400554063,0.766693627330177,0.929341267868727
"2","OB",0.258683936618,0.112600958188394,0.393820967932989
"3","ACwg",0.590285589498617,0.406403818180696,0.728213131330504
"4","ACbb",0.587574070380965,0.422729462915731,0.714782648279061
"5","G",0.173050925613496,-0.0347979518335142,0.366550340677047
