"","Param","Recov","CI.LB","CI.UB"
"1","Ab",0.458436883940946,0.194802642382607,0.660294978640513
"2","Aw",0.49442736616894,0.364248238682384,0.605655569071176
"3","Cb",0.816251513181089,0.652749886149965,0.907096317043851
"4","Cp",0.808291008485588,0.671350862995329,0.89186327794947
"5","Cu",0.813248976874651,0.671237027211622,0.897673584730322
"6","Cw",0.798211261335766,0.638439591617177,0.892033079153843
